Filmtitel,Szenen-ID,Szenenbeschreibung,Drehort,Drehortbeschreibung,Breitengrad (Drehort),Längengrad (Drehort),Szenenort,Breitengrad (Szenenort), Längengrad (Szenenort),Zeit im Film (sek),Zeit (chronologisch),Figuren,Links,Quelle,Anmerkung,
Endgame,A4-1 ,"Clint Barton verbringt Zeit mit seiner 
Familie und bringt seiner Tochter 
Bogenschießen bei. 
Seine Familie löst sich plötzlich durch 
die Dezimierung in Staub auf.","Christopher Farms and Fertilizer.
856 Christopher Rd 
Sharpsburg, GA 30277
","Christopher Farms and Fertilizer, 
Privates Anwesen,
westlich vom Lake McIntosh
in Sharpsburg, GA 30277
",33.36652536163343,-84.60400411599839,Barton Farm,33.36652536163343,-84.60400411599839,00:00:00,2018,"Clint Barton/ Cooper Barton /
Laura Barton / Lila Barton /
Nathaniel Pietro Barton",https://mculocationscout.com/2021/12/22/barton-farm-mcu-location-scout-3/,MCU: Location Scout,,
Endgame,A4-2,"Tony Stark zeigt Nebula wie man 
Paper Football spielt.","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797583,-84.51239895398108,"Die Benatar 
(Schiff der Gurdians 
of the Galaxy)",null,null,00:02:30,2018,Nebula / Tony Stark,,MCU: Location Scout,,
Endgame,A4-3,"Tony Stark zeichnet eine 
Abschiedsnachricht für seiner 
Verlobten Pepper Potts auf und legt 
sich schließlich hin um zu 
schlafen/sterben.","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797584,-84.51239895398109,"Die Benatar 
(Schiff der Gurdians 
of the Galaxy)",null,null,00:03:13,2018,Nebula / Tony Stark,,MCU: Location Scout,,
Endgame,A4-4,"Nebula legt den schlafenden Tony Stark
in einen der Sessel im Cockpit und 
verschwindet wieder im Schiff. Tony 
wird durch ein grelles Licht geweckt. 
Auftritt von Captain Marvel.","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797589,-84.51239895398114,"Die Benatar 
(Schiff der Gurdians 
of the Galaxy)",null,null,00:06:23,2018,"Carol Danvers als Captain Marvel/ Nebula/ Tony Stark/ 
",,MCU: Location Scout,,
Endgame,A4-5,"Steve Rogers rasiert sich, wobei 
plötzlich einer der Spiegel bebt. 
Er schaut alamiert gegen die Decke. ","Verlassenes Hotel in Atlanta 
1900 Sullivan Rd
College Park, GA 30337 ?",Verlassenes Hotel in Atlanta,33.625938771842954,-84.45141866135856,"Avengers HQ
“Upstate New York”",null,null,00:08:04,2018,Steve Rogers ,https://mculocationscout.com/2020/08/09/new-avengers-facility-mcu-location-scout/,MCU: Location Scout,,Legende
Endgame,A4-6,"Captain Marvel rettet Tony Stark und 
Nebula und bringt die beiden zum 
Avengers HQ. Pepper Potts und 
Steve Rogerskümmern sich um Tony, 
während Rocket und Nebula um den 
Rest des Teams trauern. ","SANY America Inc.,
318 Cooper Cir N, 
Peachtree City, GA 30269","Amerikanisches 
Baumaschienenunternehmen in 
Peachtree City, GA.",33.346237924968856,-84.55586891533968,"Avengers HQ 
“Upstate New York”",null,null,00:08:24,2018,"Bruce Banner/ James Rhodes/ Natascha Romanoff/ 
Pepper Potts/ Rocket/ Steve Rogers/ Tony Stark/ 

  
",https://mculocationscout.com/2020/08/09/new-avengers-facility-mcu-location-scout/,MCU: Location Scout,,Filmtitel (string) → Avengers/Age of Ultron/Infinity War/Endgame 
Endgame,A4-7,"Tony Stark wird über die Situation, 
nach dem Fehlschlag gegen 
Thanos aufgeklärt. Tony fällt in 
Ohnmacht nach einem Streit 
mit Steve Rogers. ","Verlassenes Hotel in Atlanta 
1900 Sullivan Rd
College Park, GA 30337 ?",Verlassenes Hotel in Atlanta,33.625938771842954,-84.45141866135856,"Avengers HQ 
“Upstate New York”",null,null,00:09:37,2018,"Bruce Banner/ James Rhodes/ Natascha Romanoff/ 
Rocket/ Steve Rogers/ Thor/ Tony Stark/ 
  
",https://mculocationscout.com/2020/08/09/new-avengers-facility-mcu-location-scout/,MCU: Location Scout,,Szenen-ID = Film-ID + ID (string) → A1/A2/A3/A4+1…
Endgame,A4-8,"Während Tony Stark sich in einem Bett 
zur Ruhe legt, will Carol Danvers nach 
Thanos suchen, um ihn zu töten. 
Nebula tritt ein und erzält den 
Anwesenden von Thanos 
Rückzugsort. 
","Verlassenes Hotel in Atlanta 
1900 Sullivan Rd
College Park, GA 30337 ?",Verlassenes Hotel in Atlanta,33.625938771842954,-84.45141866135856,"Avengers HQ 
“Upstate New York”",null,null,00:12:17,2018,"Bruce Banner/ James Rhodes/ Natascha Romanoff/ 
Pepper Potts/ Rocket/ Steve Rogers/ Thor/ Tony Stark/   
  
",https://mculocationscout.com/2020/08/09/new-avengers-facility-mcu-location-scout/,MCU: Location Scout,,Szenenbeschreibung (string) → max. 280 Zeichen
Endgame,A4-9,"Die Avengers reisen zum Rückzugsort 
von Thanos (Mit Ausnahme von Tony 
Stark und Pepper Potts), um sich an ihn 
zu rächen. Nachdem Carol Denvers die 
Umgebung untersucht, stellen sie 
heraus, das Thanos sich alleine auf 
dem Planteten befindet.  ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797583,-84.51239895398108,"Die Benatar 
(Schiff der Gurdians 
of the Galaxy)",null,null,00:14:48,2018,"Bruce Banner/ Carol Danvers als Captain Marvel/ 
James Rhodes als War Machine/ 
Natascha Romanoff als Black Widow/ Nebula/ 
Rocket/ Steve Rogers als Captain America/ Thor


 
 ",,MCU: Location Scout,,Drehort (string) → Stadt / Location
Endgame,A4-10,"Nach einer Konfrontation mit Thanos, 
stellt sich heraus, dass er die 
Infinity-Steine nach der Dezimierung, 
zerstörte. Thor wird wütend und 
enthauptet Thanos.","Batad, Banaue Rice Terraces.
Nueva Vizcaya - Ifugao - 
Mountain Province Rd, 
Banaue, Ifugao, Philippines","Historischer Ort in den 
Philipinen, mit Reisplantagen 
in/auf einem Berg. ",16.92486073545497,121.05573325536713,"Planet 0259-S 
(Der Garten)",null,null,00:16:19,2018,"Bruce Banner/ Carol Danvers als Captain Marvel/ 
James Rhodes als War Machine/ 
Natascha Romanoff als Black Widow/ Nebula/ 
Rocket/ Steve Rogers als Captain America/ Thanos/Thor


 
 ",,MCU: Location Scout,,Längengrad Drehort Koordinaten (float)
