"Filmtitel","Szenen-ID","Szenenbeschreibung","Drehort","Drehortbeschreibung","Breitengrad (Drehort)","Längengrad (Drehort)","Szenenort","Breitengrad (Szenenort)","Längengrad (Szenenort)","Zeit im Film (sek)","Zeit (chronologisch)","Figuren","Links","Quelle","Anmerkung"
"Avengers","A1-1","Der Erzähler redet über den Tesseract und die Unterwerfung der Menschheit.","5650 University Blvd SE, Albuquerque, NM 87106, Vereinigte Staaten","Filmstudio in der Mesa del Sol-Siedlung in Albuquerque, New Mexico","34.988636299215074","-106.61421979984783","Tempel im Weltraum","null","null",00:00:26,2012,"Loki / Anführer der Chitari","https://mculocationscout.com/movies/the-avengers-2012/","MCU: Location Scout","null"
"Avengers","A1-2","Ein Helikopter landet in der Joint Dark Energy Mission Western Division und Nick Fury und Maria Hill werden von Phillip Coulson empfangen.","10800 Dennis Chavez Blvd, Albuquerque, NM 87121, Vereinigte Staaten","Kampus der Atrisco Heritage Academy High School","35.022469102672126","-106.74948905726832","Außenbereich der S.H.I.E.L.D. Forschungseinrichtung in der Wüste von New Mexico","null","null",00:01:11,2012,"Phillip Coulson / Nick Fury / Maria Hill","https://movie-locations.com/movies/a/Avengers-2012.php#1st","MCU: Location Scout","null"
"Avengers","A1-3","Philip Coulson informiert Nick Fury über einen Energiestoß des Tesseractes.","5650 University Blvd SE, Albuquerque, NM 87106, Vereinigte Staaten","Filmstudio in der Mesa del Sol-Siedlung in Albuquerque, New Mexico","34.988636299215074","-106.61421979984783","S.H.I.E.L.D. Forschungseinrichtung","null","null",00:02:06,2012,"Phillip Coulson / Nick Fury / Maria Hill","null","null","null"
"Avengers","A1-4","Nick Fury und Maria Hill gehen zum Labor in dem der Tesseract aufbewahrt wird.","3597-3899 E Scheid Rd, Sandusky, OH 44870, Vereinigte Staaten","Aluminium Vakuum-Kammer der NASA Plum Brook Station","41.35908673997652","-82.64211034429894","S.H.I.E.L.D. Forschungseinrichtung","null","null",00:02:29,2012,"Nick Fury / Maria Hill","https://movie-locations.com/movies/a/Avengers-2012.php#1st","MCU: Location Scout","null"
"Avengers","A1-5","Nick Fury befragt den Erik Selvig zum Energiestoß des Tesseractes bis sie von Loki unterbrochen werden.","3597-3899 E Scheid Rd, Sandusky, OH 44870, Vereinigte Staaten","Aluminium Vakuum-Kammer der NASA Plum Brook Station","41.35908673997652","-82.64211034429894","Labor der S.H.I.E.L.D. Forschungseinrichtung","null","null",00:02:55,2012,"Nick Fury / Clint Barton als Hawkeye / Loki / Erik Selvig","https://movie-locations.com/movies/a/Avengers-2012.php#1st","MCU: Location Scout","null"
"Avengers","A1-6","Loki entkommt mit Hilfe von Hawkeye, Erik Selvig und den anderen von ihm manipulierten.","5650 University Blvd SE, Albuquerque, NM 87106, Vereinigte Staaten","Filmstudio in der Mesa del Sol-Siedlung in Albuquerque, New Mexico","34.988636299215074","-106.61421979984783","Ladezone der S.H.I.E.L.D. Forschungseinrichtung","null","null",00:08:02,2012,"Loki / Clint Barton als Hawkeye / Maria Hill / Erik Selvig","null","null","null"
"Avengers","A1-7","Maria Hill verfolgt Loki, Hawkeye und Erik Selvig, welche aus der S.H.I.E.L.D.-Forschungseinrichtung fliehen.","1 Moonlight Dr, Worthington, PA 16262, Vereinigte Staaten","150 miles of abandoned limestone tunnels of Creekside Mushrooms Ltd","40.837789430550636","-79.67016359679593","Tunnel der S.H.I.E.L.D. Forschungseinrichtung","null","null",00:08:40,2012,"Maria Hill / Loki / Hawkeye","https://movie-locations.com/movies/a/Avengers-2012.php#1st","MCU: Location Scout","null"
"Avengers","A1-8","Die S.H.I.E.L.D.-Forschungseinrichtung bricht zusammen und die letzten anwesenden fliehen.","10800 Dennis Chavez Blvd, Albuquerque, NM 87121, Vereinigte Staaten","Kampus der Atrisco Heritage Academy High School","35.022469102672126","-106.74948905726832","Außenbereich der S.H.I.E.L.D. Forschungseinrichtung in der Wüste von New Mexico","null","null",00:09:49,2012,"Phillip Coulson / Nick Fury / Maria Hill / Clint Barton als Hawkeye / Loki","https://movie-locations.com/movies/a/Avengers-2012.php#31th","MCU: Location Scout","null"
"Avengers","A1-9","Black Widow wird von Russen verhört bis Phillip Coulson anruft und ihr erzählt, dass Hawkeye in Schwierigkeiten steckt.","Ashland Road at Cedar Avenue, Cleveland, Ohio 44103, Vereinigte Staaten","Altes verlassenes Warenhaus","41.50054797832051","-81.64744486744831","Silensky Plaza (Russland)","null","null",00:11:48,2012,"Natascha Romanov als Black Widow / Phillip Coulson","https://movie-locations.com/movies/a/Avengers-2012.php#1st","MCU: Location Scout","Keine Anhaltspunkte für eine Lokalisierung des Szenenortes"
"Avengers","A1-10","Black Widow lockt Bruce Banner in ein Gespräch, um ihn um Hilfe zur Wiedererlangung des Tesseractes zu bitten.","722 3rd St SW, Albuquerque, NM 87102, Vereinigte Staaten","Albuquerque Rail Yards","35.662009","-105.965375","Calcutta","22.57513690690538","88.3647752943582",00:15:18,2012,"Bruce Banner / Natascha Romanov als Black Widow","https://movie-locations.com/movies/a/Avengers-2012.php#1st","MCU: Location Scout","null"
